cluster,size,sil,top_terms,exemplar_1,exemplar_2,exemplar_3,summary
9,348,0.534,"department, limits, office, funds, funding, fiscal","HR2060-118 — To provide for a limitation on availability of funds for Department of Treasury, Internal Revenue Service, Enforcement for fiscal year 2024.","HR1960-118 — To provide for a limitation on availability of funds for Department of Health and Human Services, Health Resources and Services Administration Program Management for fiscal year 2024.","HR1967-118 — To provide for a limitation on availability of funds for Department of Health and Human Services, Centers for Disease Control and Prevention Environmental Health for fiscal year 2024.","Theme: department, limits, office — ~348 bills; ~0 cosponsors (median); deg≈0; PR≈-0.27; exemplar: To provide for a limitation on availability of funds for Department of Treasu…"
18,191,0.479,"postal, post, post office, office, facility postal, service located","HR4621-117 — To designate the facility of the United States Postal Service located at 102 West Main Street in New Albany, Ohio, as the ""Congressman Samuel L. Devine Post Office"".","HR3613-117 — To designate the facility of the United States Postal Service located at 202 Trumbull Street in Saint Clair, Michigan, as the ""Corporal Jeffrey Robert Standfest Post Office Building"".","S4454-117 — A bill to designate the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the ""Officer Leo Pavlak Post Office Building"".","Theme: postal, post, post office — ~191 bills; ~0 cosponsors (median); deg≈0; PR≈-0.26; exemplar: To designate the facility of the United States Postal Service located at 102 …"
6,834,0.412,"li, strong, li li, federal, nbsp, consideration",HR5528-118 — Safe and Smart Federal Purchasing Act,HR856-119 — Safe and Smart Federal Purchasing Act,HR3746-118 — Fiscal Responsibility Act of 2023,"Theme: li, strong, li li — ~834 bills; ~0 cosponsors (median); deg≈4; PR≈4.42; exemplar: Safe and Smart Federal Purchasing Act"
21,319,0.302,"ukraine, russia, russian, li, strong, president",HR6422-117 — Putin Accountability Act,"HRES192-118 — Expressing the sense of the House of Representatives that the United States condemns the Russian Government's gross violations of international law amounting to war crimes and crimes against humanity, stands in solidarity with the people of Ukraine, and supports the efforts of international organizations to help people displaced by war and conflict.",HR8120-117 — Expanding Trade Sanctions on Russia Act,"Theme: ukraine, russia, russian — ~319 bills; ~0 cosponsors (median); deg≈0; PR≈-0.27; exemplar: Putin Accountability Act"
27,322,0.284,"firearms, gun, firearm, li, strong, violence",HR5678-117 — Firearms Retailer Code of Conduct Act of 2021,HR4836-117 — Firearm Owners Responsibility and Safety Act,HR3252-117 — Federal Firearms Licensee Protection Act,"Theme: firearms, gun, firearm — ~322 bills; ~0 cosponsors (median); deg≈0; PR≈-0.25; exemplar: Firearms Retailer Code of Conduct Act of 2021"
28,421,0.233,"china, taiwan, chinese, strong, government, li","S413-117 — A bill to establish the China Censorship Monitor and Action Group, and for other purposes.","HR3695-117 — To establish the China Censorship Monitor and Action Group, and for other purposes.",HR1131-117 — China Technology Transfer Control Act of 2021,"Theme: china, taiwan, chinese — ~421 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: A bill to establish the China Censorship Monitor and Action Group, and for ot…"
11,349,0.215,"election, strong, voter, federal, vote, state",HR8461-117 — Promoting Free and Fair Elections Act,S4997-117 — Promoting Free and Fair Elections Act,HR6446-117 — One Citizen One Vote Act,"Theme: election, strong, voter — ~349 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: Promoting Free and Fair Elections Act"
31,392,0.202,"health, abortion, care, services, li, strong",S166-118 — HEALING Mothers and Fathers Act,S3253-117 — HEALING Mothers and Fathers Act,S95-117 — Women’s Public Health and Safety Act,"Theme: health, abortion, care — ~392 bills; ~0 cosponsors (median); deg≈0; PR≈-0.15; exemplar: HEALING Mothers and Fathers Act"
0,336,0.167,"li, strong, health, services, national, federal",HR5984-117 — IDEA Full Funding Act,HR2116-117 — Creating a Respectful and Open World for Natural Hair Act of 2022,HR5129-117 — Community Services Block Grant Modernization Act of 2022,"Theme: li, strong, health — ~336 bills; ~4 cosponsors (median); deg≈1; PR≈1.18; exemplar: IDEA Full Funding Act"
14,656,0.16,"veterans, va, care, strong, li, veteran",HR4486-117 — Survey Our Ser­vice­mem­bers Act,"S1040-117 — A bill to amend title 38, United States Code, to expand eligibility for hospital care, medical services, and nursing home care from the Department of Veterans Affairs to include veterans of World War II.","HR5562-117 — To amend title 38, United States Code, to expand eligibility for hospital care, medical services, and nursing home care from the Department of Veterans Affairs to include veterans of World War II.","Theme: veterans, va, care — ~656 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: Survey Our Ser­vice­mem­bers Act"
2,419,0.155,"li, strong, national, coast, coastal, program",S4903-117 — Northwest Straits Marine Conservation Initiative Reauthorization Act of 2022,HR3205-117 — Open America’s Waters Act,S1646-117 — Open America's Waters Act,"Theme: li, strong, national — ~419 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: Northwest Straits Marine Conservation Initiative Reauthorization Act of 2022"
